Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,23.750000,25.180000,23.049999,24.400000,24.400000,87109500
2019-04-22,24.620001,30.680000,23.570000,29.850000,29.850000,81943300
2019-04-29,30.770000,35.290001,28.120001,28.360001,28.360001,100147100
2019-05-06,27.670000,30.200001,26.900000,29.049999,29.049999,33573600
2019-05-13,27.799999,31.150000,25.700001,26.700001,26.700001,64563000
2019-05-20,27.240000,27.240000,23.600000,25.500000,25.500000,34163100
2019-05-27,25.650000,26.379999,24.750000,24.920000,24.920000,11688800
2019-06-03,24.980000,27.740000,23.910000,27.610001,27.610001,20235500
2019-06-10,27.840000,28.950001,26.165001,27.410000,27.410000,17439800
2019-06-17,27.660000,29.809999,27.219999,27.980000,27.980000,26958700
2019-06-24,27.980000,28.110001,25.820000,27.219999,27.219999,12857900
2019-07-01,27.600000,28.049999,26.410000,27.250000,27.250000,10688900
2019-07-08,27.200001,27.850000,25.870001,26.410000,26.410000,11351400
2019-07-15,26.580000,26.990000,25.320000,25.559999,25.559999,7674000
2019-07-22,25.629999,28.400000,25.450001,27.639999,27.639999,14435500
2019-07-29,27.799999,35.209999,27.180000,33.570000,33.570000,58930900
2019-08-05,32.900002,34.430000,31.520000,33.430000,33.430000,26255600
2019-08-12,33.470001,36.099998,31.528999,32.220001,32.220001,23276500
2019-08-19,32.882000,36.830002,32.580002,34.500000,34.500000,28214100
2019-08-26,34.880001,36.139999,33.009998,34.419998,34.419998,13112700
2019-09-02,33.930000,34.669998,30.000000,30.360001,30.360001,16444800
2019-09-09,30.459999,30.500000,27.350000,29.040001,29.040001,28033400
2019-09-16,28.650000,30.730000,28.620001,30.219999,30.219999,25178800
2019-09-23,29.969999,30.090000,25.870001,26.500000,26.500000,22338300
2019-09-30,26.370001,28.040001,25.139999,27.309999,27.309999,23654600
2019-10-07,27.290001,27.510000,25.299999,26.889999,26.889999,19119800
2019-10-14,26.320000,26.850000,24.270000,25.309999,25.309999,86527600
