Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,11.010000,11.480000,9.600000,10.500000,10.500000,1582500
2020-11-02,10.950000,11.000000,9.310000,9.980000,9.980000,583900
2020-11-09,10.000000,10.010000,9.000000,10.000000,10.000000,567600
2020-11-16,10.000000,10.500000,9.760000,10.400000,10.400000,145900
2020-11-23,10.260000,11.400000,10.080000,11.300000,11.300000,218500
2020-11-30,11.500000,11.600000,10.750000,10.750000,10.750000,223600
2020-12-07,10.990000,10.990000,10.280000,10.540000,10.540000,261500
2020-12-14,10.730000,12.250000,10.210000,12.250000,12.250000,287300
2020-12-21,12.250000,13.990000,11.650000,13.400000,13.400000,93200
2020-12-28,13.500000,13.500000,13.000000,13.190000,13.190000,22900
2021-01-04,13.190000,13.190000,11.550000,11.550000,11.550000,59700
2021-01-11,11.500000,13.040000,11.400000,11.520000,11.520000,68100
2021-01-18,11.500000,12.850000,11.400000,12.300000,12.300000,85000
2021-01-25,13.080000,13.080000,11.610000,11.750000,11.750000,49800
2021-02-01,11.500000,11.890000,10.550000,11.250000,11.250000,224800
2021-02-08,11.000000,12.400000,10.710000,11.750000,11.750000,113900
2021-02-15,11.950000,12.140000,11.000000,11.900000,11.900000,128900
2021-02-22,11.000000,11.250000,10.500000,10.600000,10.600000,137300
2021-03-01,11.000000,11.000000,9.120000,9.640000,9.640000,203300
2021-03-08,9.460000,9.950000,8.930000,9.000000,9.000000,110700
2021-03-15,9.000000,9.490000,8.500000,9.350000,9.350000,200000
2021-03-22,9.200000,9.310000,8.800000,8.900000,8.900000,17600
2021-03-29,8.900000,8.910000,7.700000,7.950000,7.950000,88000
2021-04-05,7.760000,8.000000,7.000000,7.700000,7.700000,54800
2021-04-12,7.660000,8.120000,7.460000,8.050000,8.050000,86200
2021-04-19,8.240000,8.240000,7.950000,7.960000,7.960000,10400
2021-04-26,7.950000,8.020000,7.250000,7.860000,7.860000,33300
2021-05-03,7.800000,7.900000,7.570000,7.750000,7.750000,80200
2021-05-10,7.890000,8.000000,7.600000,7.790000,7.790000,71600
2021-05-17,7.660000,8.000000,7.500000,7.910000,7.910000,183400
2021-05-24,7.890000,8.040000,6.500000,7.000000,7.000000,417200
2021-05-31,7.150000,7.190000,6.650000,6.800000,6.800000,48200
2021-06-07,6.940000,6.950000,6.800000,6.830000,6.830000,34500
2021-06-14,6.790000,6.890000,6.650000,6.700000,6.700000,64500
2021-06-21,6.660000,6.870000,5.900000,6.130000,6.130000,117000
2021-06-28,6.150000,6.190000,5.800000,5.920000,5.920000,77300
2021-07-05,5.940000,6.100000,5.850000,6.000000,6.000000,52300
2021-07-12,6.290000,6.470000,6.100000,6.250000,6.250000,12100
2021-07-19,6.250000,6.360000,6.050000,6.250000,6.250000,30000
2021-07-26,6.450000,6.450000,5.750000,5.900000,5.900000,27600
