Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,20.000000,21.850000,19.120001,20.600000,20.600000,14967100
2018-04-16,20.879999,20.879999,19.000000,19.719999,19.719999,3709700
2018-04-23,19.830000,20.280001,19.400000,19.610001,19.610001,1715700
2018-04-30,19.549999,20.190001,19.200001,19.549999,19.549999,1010100
2018-05-07,19.389999,20.350000,18.750000,20.160000,20.160000,1142300
2018-05-14,20.299999,20.350000,19.170000,19.670000,19.670000,628600
2018-05-21,19.639999,22.188999,19.329000,21.400000,21.400000,1305700
2018-05-28,21.400000,27.500000,20.000000,26.400000,26.400000,3212600
2018-06-04,29.160000,31.000000,27.150000,29.230000,29.230000,5818900
2018-06-11,29.469999,36.000000,28.969999,34.630001,34.630001,9205400
2018-06-18,35.060001,37.779999,26.600000,27.639999,27.639999,13117100
2018-06-25,26.670000,30.680000,26.280001,27.200001,27.200001,8021100
2018-07-02,27.540001,28.990000,25.820000,26.309999,26.309999,4938300
2018-07-09,26.709999,27.000000,23.870001,25.690001,25.690001,8624800
2018-07-16,25.230000,27.990000,24.250000,25.270000,25.270000,6780100
2018-07-23,25.219999,27.441000,24.620001,25.120001,25.120001,4203300
2018-07-30,25.120001,26.559999,22.500000,25.180000,25.180000,6211500
2018-08-06,25.280001,29.950001,25.260000,28.430000,28.430000,5577300
2018-08-13,28.809999,30.879999,28.600000,29.150000,29.150000,6113900
2018-08-20,29.900000,33.480000,28.055000,33.380001,33.380001,5581500
2018-08-27,35.310001,35.682999,27.530001,27.580000,27.580000,17740600
2018-09-03,27.700001,28.389999,24.080000,25.530001,25.530001,11943900
2018-09-10,25.500000,26.430000,24.240000,24.629999,24.629999,7088200
2018-09-17,24.350000,24.950001,21.799999,23.360001,23.360001,9681400
2018-09-24,23.190001,23.469999,22.020000,23.110001,23.110001,6854900
2018-10-01,23.070000,23.110001,20.410000,21.160000,21.160000,10046800
2018-10-08,20.889999,21.240000,17.719999,18.100000,18.100000,14591600
2018-10-15,18.030001,21.309999,17.730000,20.000000,20.000000,9557100
2018-10-22,20.110001,20.209999,17.870001,19.030001,19.030001,5673200
2018-10-29,19.549999,21.275000,18.180000,20.780001,20.780001,6576900
2018-11-05,20.940001,22.020000,20.239000,20.969999,20.969999,5379000
2018-11-12,20.930000,21.510000,20.000000,20.730000,20.730000,3922000
2018-11-19,20.730000,20.799999,16.000000,17.930000,17.930000,5398300
2018-11-26,18.200001,20.690001,18.044001,19.030001,19.030001,9829300
2018-12-03,20.200001,20.230000,17.549999,18.139999,18.139999,6021000
2018-12-10,18.040001,19.500000,17.650000,18.240000,18.240000,7053600
2018-12-17,17.870001,18.440001,15.880000,16.080000,16.080000,11766000
2018-12-24,15.670000,18.160000,15.560000,17.650000,17.650000,3794500
2018-12-31,17.950001,18.670000,17.270000,18.549999,18.549999,4287000
2019-01-07,18.830000,20.110001,18.760000,19.969999,19.969999,5965800
2019-01-14,19.900000,21.600000,19.500000,21.139999,21.139999,7194800
2019-01-21,20.920000,21.639999,19.820000,21.360001,21.360001,4188800
2019-01-28,21.049999,22.445000,20.500000,21.160000,21.160000,4180900
2019-02-04,20.980000,21.850000,19.799999,21.299999,21.299999,5249300
2019-02-11,21.459999,23.020000,20.080000,22.500000,22.500000,6879300
2019-02-18,22.540001,24.070000,22.320000,23.969999,23.969999,5625800
2019-02-25,24.280001,24.650000,23.270000,23.410000,23.410000,6815400
2019-03-04,23.700001,23.719999,21.629999,23.040001,23.040001,7137000
2019-03-11,23.100000,24.219999,23.090000,23.410000,23.410000,6574700
2019-03-18,23.639999,24.434000,20.280001,20.910000,20.910000,21023400
2019-03-25,20.750000,20.820000,18.129999,20.030001,20.030001,17893200
2019-04-01,20.200001,20.950001,19.570000,20.150000,20.150000,10218400
2019-04-08,20.129999,20.309999,19.180000,19.340000,19.340000,4565900
2019-04-15,19.250000,19.799999,18.830000,19.219999,19.219999,5312200
2019-04-22,19.070000,21.950001,18.950001,21.350000,21.350000,10213400
2019-04-29,21.410000,22.650000,21.010000,22.240000,22.240000,7206400
2019-05-06,21.780001,23.040001,21.150000,22.350000,22.350000,8494000
2019-05-13,21.820000,23.000000,20.990000,22.330000,22.330000,5258400
2019-05-20,22.000000,22.840000,20.320000,21.350000,21.350000,8549000
2019-05-27,21.320000,22.010000,13.350000,13.990000,13.990000,27610800
2019-06-03,14.000000,14.980000,13.040000,14.560000,14.560000,17678000
2019-06-10,14.810000,15.470000,14.000000,14.730000,14.730000,11255000
2019-06-17,14.730000,16.299999,14.730000,15.910000,15.910000,10019800
2019-06-24,15.880000,15.940000,14.600000,15.320000,15.320000,19043900
2019-07-01,15.460000,16.250000,15.150000,16.110001,16.110001,4877900
2019-07-08,15.970000,16.745001,15.760000,16.389999,16.389999,4082500
2019-07-15,16.480000,16.650000,14.970000,15.310000,15.310000,5178100
2019-07-22,15.390000,15.900000,15.000000,15.550000,15.550000,4550000
2019-07-29,15.600000,15.692000,14.420000,14.830000,14.830000,4507000
2019-08-05,14.130000,14.880000,13.420000,14.050000,14.050000,4655700
2019-08-12,13.900000,14.320000,13.060000,13.540000,13.540000,6569900
2019-08-19,13.780000,14.670000,13.530000,14.190000,14.190000,5548000
2019-08-26,14.330000,15.510000,13.431000,15.050000,15.050000,10510600
2019-09-02,14.970000,15.450000,14.330000,15.310000,15.310000,4944200
2019-09-09,15.390000,16.000000,15.130000,15.190000,15.190000,5875400
2019-09-16,14.790000,16.000000,14.760000,15.750000,15.750000,8661200
2019-09-23,15.630000,16.590000,14.810000,15.100000,15.100000,10217500
2019-09-30,15.150000,15.340000,14.160000,15.030000,15.030000,5513900
2019-10-07,15.000000,15.190000,14.300000,14.660000,14.660000,3764600
2019-10-14,14.620000,14.660000,13.435000,13.620000,13.620000,5901300
2019-10-21,13.750000,14.450000,13.650000,14.390000,14.390000,4583400
2019-10-28,14.450000,14.670000,14.010000,14.530000,14.530000,2967500
2019-11-04,14.650000,15.030000,14.070000,14.620000,14.620000,3688000
2019-11-11,14.500000,15.220000,14.370000,15.200000,15.200000,3306000
2019-11-18,15.200000,15.800000,14.810000,15.450000,15.450000,4120700
2019-11-25,15.540000,16.170000,15.540000,15.940000,15.940000,2499200
2019-12-02,15.950000,15.980000,14.580000,14.900000,14.900000,6129200
2019-12-09,15.030000,15.660000,13.900000,14.180000,14.180000,7370300
2019-12-16,14.290000,14.660000,14.110000,14.380000,14.380000,5824900
2019-12-23,14.370000,14.690000,14.150000,14.210000,14.210000,3091200
2019-12-30,14.100000,15.100000,13.680000,14.770000,14.770000,5766600
2020-01-06,14.660000,15.080000,14.310000,15.030000,15.030000,5774200
2020-01-13,15.100000,15.960000,14.930000,15.350000,15.350000,5287400
2020-01-20,15.340000,16.030001,15.055000,15.450000,15.450000,4004800
2020-01-27,15.000000,15.260000,14.600000,14.750000,14.750000,4317300
2020-02-03,14.760000,16.400000,14.760000,15.710000,15.710000,5537500
2020-02-10,15.600000,16.129999,15.500000,15.970000,15.970000,3303500
2020-02-17,15.860000,16.500000,15.400000,15.630000,15.630000,3779300
2020-02-24,14.950000,15.400000,12.310000,13.240000,13.240000,8847600
2020-03-02,13.330000,13.450000,11.200000,11.490000,11.490000,6721800
2020-03-09,10.420000,11.140000,6.210000,7.690000,7.690000,12767700
2020-03-16,6.670000,9.410000,6.530000,8.100000,8.100000,16869200
2020-03-23,8.110000,9.250000,7.690000,8.090000,8.090000,11249000
2020-03-30,8.070000,8.650000,7.190000,8.230000,8.230000,8295700
2020-04-06,8.500000,9.260000,8.320000,9.120000,9.120000,6983000
2020-04-13,9.170000,10.690000,9.000000,9.850000,9.850000,10441800
2020-04-20,9.750000,10.240000,8.960000,9.660000,9.660000,5802500
2020-04-27,9.780000,11.090000,9.780000,10.230000,10.230000,6986500
2020-05-04,10.120000,11.440000,9.930000,11.260000,11.260000,7009300
2020-05-11,11.200000,12.390000,9.900000,10.580000,10.580000,7878300
2020-05-18,10.920000,12.100000,10.660000,12.060000,12.060000,5661300
2020-05-25,12.500000,12.580000,10.930000,12.010000,12.010000,5526100
2020-06-01,11.950000,15.110000,11.760000,12.750000,12.750000,20833800
2020-06-08,12.850000,13.450000,11.725000,12.420000,12.420000,11881300
2020-06-15,12.680000,14.040000,12.540000,13.010000,13.010000,16555800
2020-06-22,13.070000,13.640000,12.567000,12.970000,12.970000,9371200
2020-06-29,13.050000,13.200000,12.050000,12.840000,12.840000,5960300
2020-07-06,12.850000,13.280000,12.390000,12.430000,12.430000,6189100
2020-07-13,12.500000,12.530000,11.055000,11.810000,11.810000,6035200
2020-07-20,11.810000,12.410000,11.360000,11.520000,11.520000,4500700
2020-07-27,11.560000,11.780000,11.065000,11.640000,11.640000,3531300
2020-08-03,11.670000,12.590000,11.380000,11.730000,11.730000,4892900
2020-08-10,11.710000,12.120000,11.280000,11.860000,11.860000,4285100
2020-08-17,11.910000,12.015000,11.430000,11.590000,11.590000,5560000
2020-08-24,11.740000,13.480000,11.360000,13.460000,13.460000,7896200
2020-08-31,13.600000,17.790001,9.630000,10.420000,10.420000,33688700
2020-09-07,10.020000,10.540000,9.540000,9.840000,9.840000,11074900
2020-09-14,9.900000,9.925000,9.150000,9.690000,9.690000,17865900
2020-09-21,9.600000,10.530000,9.520000,10.460000,10.460000,8852800
2020-09-28,10.610000,10.790000,10.050000,10.190000,10.190000,6726600
2020-10-05,10.170000,11.070000,9.870000,11.060000,11.060000,8758200
2020-10-12,11.160000,11.290000,10.550000,10.990000,10.990000,5846400
2020-10-19,11.030000,11.230000,10.390000,10.810000,10.810000,5525700
2020-10-26,10.810000,11.030000,9.400000,9.620000,9.620000,7355300
2020-11-02,9.750000,10.400000,9.270000,10.370000,10.370000,4845900
2020-11-09,10.500000,11.030000,9.870000,10.340000,10.340000,6291400
2020-11-16,10.370000,11.650000,10.310000,11.560000,11.560000,7351200
2020-11-23,11.700000,11.880000,11.515000,11.650000,11.650000,4081900
2020-11-30,11.740000,12.850000,11.150000,11.360000,11.360000,12653900
2020-12-07,11.460000,12.600000,11.400000,12.150000,12.150000,9464800
2020-12-14,12.160000,13.210000,12.070000,12.710000,12.710000,7803900
2020-12-21,12.500000,14.600000,12.470000,14.360000,14.360000,6371300
2020-12-28,14.580000,14.790000,13.705000,13.930000,13.930000,7447800
2021-01-04,14.000000,14.410000,13.080000,14.370000,14.370000,7385300
2021-01-11,14.210000,14.435000,13.360000,13.410000,13.410000,5330500
2021-01-18,13.750000,15.100000,13.420000,15.050000,15.050000,6795900
2021-01-25,15.250000,15.340000,13.940000,14.750000,14.750000,10117200
2021-02-01,14.790000,16.139999,14.060000,16.049999,16.049999,6305000
2021-02-08,16.299999,16.968000,16.020000,16.799999,16.799999,5456300
2021-02-15,16.850000,17.330000,15.930000,16.830000,16.830000,5760800
2021-02-22,16.559999,16.850000,14.720000,14.930000,14.930000,8373700
2021-03-01,15.310000,15.780000,12.785000,13.650000,13.650000,7995400
